time,user_id,eeg_1,eeg_2,emg_1,emg_2,blink_l,blink_r,gaze_x,gaze_y,gaze_z,event_label
2026-06-02 09:13:02.572+00,6021713,13.400942087173462,-6.54977560043335,26.000261306762695,23.658156394958496,,,,,,Null
2026-06-02 09:13:02.576+00,6021713,13.426199555397034,-6.537258625030518,25.98246932029724,23.64170551300049,,,,,,Null
2026-06-02 09:13:02.58+00,6021713,13.421952724456787,-6.531000137329102,25.953680276870728,23.616313934326172,,,,,,Null
2026-06-02 09:13:02.584+00,6021713,13.419359922409058,-6.534397602081299,25.950953364372253,23.60062301158905,,,,,,Null
2026-06-02 09:13:02.584+00,6021713,,,,,1,1,0.04878398776054382,0.23155775666236877,-4.158106327056885,Null
2026-06-02 09:13:02.588+00,6021713,13.418510556221008,-6.546512246131897,25.962799787521362,23.61622452735901,,,,,,Null
2026-06-02 09:13:02.592+00,6021713,13.41278851032257,-6.557688117027283,25.979384779930115,23.64179491996765,,,,,,Null
2026-06-02 09:13:02.596+00,6021713,13.405367732048035,-6.547808647155762,25.966018438339233,23.641034960746765,,,,,,Null
2026-06-02 09:13:02.6+00,6021713,13.415247201919556,-6.5345317125320435,25.93401074409485,23.614302277565002,,,,,,Null
2026-06-02 09:13:02.6+00,6021713,,,,,1,1,0.049322597682476044,0.2317207008600235,-4.157742500305176,Null
2026-06-02 09:13:02.604+00,6021713,13.420477509498596,-6.5272897481918335,25.927260518074036,23.61622452735901,,,,,,Null
2026-06-02 09:13:02.608+00,6021713,13.399824500083923,-6.547361612319946,25.958240032196045,23.634418845176697,,,,,,Null
2026-06-02 09:13:02.612+00,6021713,13.394594192504883,-6.568729877471924,25.982961058616638,23.644253611564636,,,,,,Null
2026-06-02 09:13:02.612+00,6021713,,,,,1,1,0.04959320276975632,0.23188945651054382,-4.157443046569824,Null
2026-06-02 09:13:02.616+00,6021713,13.399556279182434,-6.562560796737671,25.98099410533905,23.63736927509308,,,,,,Null
2026-06-02 09:13:02.62+00,6021713,13.394013047218323,-6.539538502693176,25.946930050849915,23.637548089027405,,,,,,Null
2026-06-02 09:13:02.624+00,6021713,13.397902250289917,-6.532162427902222,25.923818349838257,23.62959086894989,,,,,,Null
2026-06-02 09:13:02.628+00,6021713,13.399690389633179,-6.538510322570801,25.9406715631485,23.637190461158752,,,,,,Null
2026-06-02 09:13:02.632+00,6021713,13.410955667495728,-6.537213921546936,25.96651017665863,23.641079664230347,,,,,,Null
2026-06-02 09:13:02.636+00,6021713,13.407200574874878,-6.537526845932007,25.944963097572327,23.629948496818542,,,,,,Null
2026-06-02 09:13:02.64+00,6021713,13.40433955192566,-6.530597805976868,25.910720229148865,23.627713322639465,,,,,,Null
2026-06-02 09:13:02.64+00,6021713,,,,,1,1,0.05873851850628853,0.23268917202949524,-4.157004356384277,Null
2026-06-02 09:13:02.644+00,6021713,13.404831290245056,-6.538152694702148,25.910720229148865,23.620963096618652,,,,,,Null
2026-06-02 09:13:02.648+00,6021713,13.406172394752502,-6.550043821334839,25.92712640762329,23.62114191055298,,,,,,Null
2026-06-02 09:13:02.652+00,6021713,13.392001390457153,-6.563767790794373,25.94532072544098,23.640498518943787,,,,,,Null
2026-06-02 09:13:02.652+00,6021713,,,,,1,1,0.06748182326555252,0.23331685364246368,-4.1568074226379395,Null
2026-06-02 09:13:02.656+00,6021713,13.395577669143677,-6.558313965797424,25.94912052154541,23.633703589439392,,,,,,Null
2026-06-02 09:13:02.66+00,6021713,13.403713703155518,-6.553977727890015,25.93003213405609,23.60723912715912,,,,,,Null
2026-06-02 09:13:02.664+00,6021713,13.40290904045105,-6.546467542648315,25.912955403327942,23.60120415687561,,,,,,Null
2026-06-02 09:13:02.668+00,6021713,13.368979096412659,-6.540745496749878,25.918230414390564,23.630842566490173,,,,,,Null
2026-06-02 09:13:02.672+00,6021713,13.348370790481567,-6.528675556182861,25.931552052497864,23.654580116271973,,,,,,Null
2026-06-02 09:13:02.676+00,6021713,13.379350304603577,-6.522640585899353,25.929048657417297,23.657217621803284,,,,,,Null
2026-06-02 09:13:02.68+00,6021713,13.415560126304626,-6.535336375236511,25.935038924217224,23.636609315872192,,,,,,Null
2026-06-02 09:13:02.684+00,6021713,13.414040207862854,-6.546869874000549,25.94943344593048,23.639783263206482,,,,,,Null
2026-06-02 09:13:02.684+00,6021713,,,,,1,1,0.06970010697841644,0.23410731554031372,-4.156393527984619,Null
2026-06-02 09:13:02.688+00,6021713,13.408094644546509,-6.548702716827393,25.9568989276886,23.653417825698853,,,,,,Null
2026-06-02 09:13:02.692+00,6021713,13.398751616477966,-6.544947624206543,25.96856653690338,23.65712821483612,,,,,,Null
2026-06-02 09:13:02.696+00,6021713,13.400226831436157,-6.53471052646637,25.947511196136475,23.642465472221375,,,,,,Null
2026-06-02 09:13:02.696+00,6021713,,,,,1,1,0.07247462868690491,0.2346675544977188,-4.156100273132324,Null
2026-06-02 09:13:02.7+00,6021713,13.402149081230164,-6.5429359674453735,25.922119617462158,23.609697818756104,,,,,,Null
2026-06-02 09:13:02.704+00,6021713,13.395041227340698,-6.5590739250183105,25.905176997184753,23.588821291923523,,,,,,Null
